address,helixTokenBalance,vipPresaleBalance,airdropBalance,masterChefAmount,masterChefPending,vaultDepositSum,referralReward
0x00000000fdd611ebf1272a94df9258103994c24e,4496312439234960087,0,0,6489938081104589692,445086104800488266092,0,2483845635319517635
0x00ea890138fc0a6b06af15b420353c3d12841df7,62803,471600000000000000000000,0,0,0,0,0
0x010a041197306b8ae721c2af4a51c4ddb3874208,0,36000000000000000000000,0,0,0,0,0
0x01314f10a7d4e1fcda250e9b8d9a24923cb6e32f,4842435473527083844902,0,0,39737062827301844820,3320931323459515863386,1105304405016058869517,0
0x01427fedd20d89dfdf52ca37d20b2943271fb462,1697793511837240196052,0,0,0,0,0,0
0x022733ecc4fd9fe2b5525ebf3123bc4ee9d1a80d,0,16400000000000000000000,0,0,0,0,0
0x02bc8d7df6dc0c3c34c9eccb19cacc1a80be9683,0,44000000000000000000000,0,0,0,0,0
0x0315041da74d095d19886d585b26478d01237651,0,0,0,0,0,0,0
0x048098beb3746945c2fecb14431bb273121d6c36,100344833606179087487277,0,0,0,0,0,0
0x05aa77d2f88e99bf7a7c330f7813c0a467c47703,16806290762127050431,0,0,6735806428523808473,144349646288383272209,0,0
0x05dcb5369d059be49148197c6a96d0a8ef0993e5,0,39600000000000000000000,0,0,0,0,0
0x06ac5e1a19d227dc92bec75f9aae05b4e0c499a9,670000000000000000000,0,0,0,0,0,0
0x06cadc487479d39082d91e5fdc4d79a534fd960f,0,0,0,0,0,0,0
0x075e3e705dcf565a59798bf584f1521623a9b24c,800000000000000000000,513600000000000000000000,0,107111558686683274174,2295421605993006430895,100000000000000000000000,0
0x07862bde5dc512a6783020dbd10094dc26f10073,59592821964189780256,0,0,0,0,17159098196632592368863,0
0x08f4282058c075e54eb71152d9ef2e8e3e963cef,0,48000000000000000000000,0,0,0,0,0
0x096a79f62bd3d2b0f600c1733017d19ed1b977b0,0,0,1070928864042670353260,0,0,0,0
0x09d6679f6913b32ccf0cd3803e688a3a496452d7,8897841436583081316,12000000000000000000000,0,0,0,0,0
0x0a66eb867448b0b7901d2026b5f410711843c9c7,0,0,0,0,0,0,0
0x0a76bbaf2b43a45bdaf92abd2a32902b8e0b21b7,0,0,0,0,0,0,0
0x0b4f05f0dd6f721f1b9332e3fc339f73f997619b,0,0,0,898476871138316019465,2739421538058390283708,0,0
0x0c442623b6b99c967d897077ea500e9acddc8ab9,0,24000000000000000000000,3212786592028011029879,0,0,0,0
0x0c5d1220b0dfaed89707e11328d29b3202ffcd5e,0,32000000000000000000000,0,0,0,3658356345567904446902,0
0x0ce476b12f4c31ad9702f7ca4b09fe08d8f7d434,0,0,0,0,0,0,0
0x0e2ac7ecd85d786b884980f5154e9c86cac9f01e,212599699578922796,0,0,17534847234842879370,4765061425645305855,0,0
0x0ebd29ccfdeef2b09730adc291f9a64b78dfeaea,0,0,0,0,0,0,0
0x0fd49353909f6c4f9b1a8cf07de490c51998707b,0,0,0,0,0,0,0
0x0ff75354b403beaee5122a9bca41e82d1afb5171,0,0,0,0,0,0,0
0x1020597bde62961dd0a7ee2833f64a5dfb265d77,0,0,0,0,0,0,0
0x104fcdbd268eb4091889d89e026be21e4b38868d,0,12000000000000000000000,1013831799468785203271,0,0,0,0
0x1090438fcaf18f8d632b2cec525e8d22acf8c10c,118379827862730455824,24000000000000000000000,0,0,0,0,11681723790427867838
0x10cd63cbeb8cb30f1b9329cb7229f5c7fe54d9c0,0,4000000000000000000000,0,0,0,0,0
0x10ea501ca01af7d91498987ea6340c7b51baddff,21459168146234099916,0,0,0,0,936799018401037417551,0
0x1171d5c48912686dcf3992de96593d502e24d957,0,8000000000000000000000,0,0,0,0,0
0x11b2db167e4bd6d37ac327c6ea31bab543d5f399,0,0,609726057577984069499,0,0,0,0
0x11c898ea11a93b6aa6fd9ae7612d014e4e338e24,0,0,0,0,0,0,0
0x11d5a07cfcf40a445df13c15f5c6d093c001ffbb,5080672352093649643397,0,0,15892108125367572636,26239977777577351642,19134027155441808107448,0
0x1205942bd0e22f22099f51eccc0b799d9eaf89f4,29178172783952223451,0,0,0,0,1800000000000000000000,0
