"Txhash","Blockno","UnixTimestamp","DateTime","From","To","Quantity","Method"
"0xc5bc9ccb7fc3500243e019fae5157bc2ce83a73777676f98a000e6455b5bf1ef","15077727","1656960042","2022-07-04 18:40:42","0x0000000000000000000000000000000000000000","0xc84783ea4e1de17bfc8b06d72d0257f750d73c43","30,919.445454545454545454","Withdraw"
"0xc5bc9ccb7fc3500243e019fae5157bc2ce83a73777676f98a000e6455b5bf1ef","15077727","1656960042","2022-07-04 18:40:42","0xc84783ea4e1de17bfc8b06d72d0257f750d73c43","0x50aa3d33800a1bf4b8ed76740fd52dfb4bb503e7","15,811.26060606052963026","Withdraw"
"0x3fb8f8abdab4f262a61de5a4a62636f2a83ac2b341bb40a2364e8493b2286205","15077732","1656960088","2022-07-04 18:41:28","0x0000000000000000000000000000000000000000","0xc84783ea4e1de17bfc8b06d72d0257f750d73c43","1,798.219818181818181818","Withdraw"
"0x8aa82389762b11881eda3f190675e8825e4e318c2fea0581c53d3a9d6982ed96","15077734","1656960168","2022-07-04 18:42:48","0x0000000000000000000000000000000000000000","0xc84783ea4e1de17bfc8b06d72d0257f750d73c43","4,495.170909090909090909","Withdraw"
"0xfe281c3d199bcefd39a2a3e6b36b23891b99de955e8b6b638f43a3a9787a4f8b","15077740","1656960190","2022-07-04 18:43:10","0x0000000000000000000000000000000000000000","0xc84783ea4e1de17bfc8b06d72d0257f750d73c43","4,493.656363636363636363","Withdraw"
"0x49b96177df90c499d63b0f491b2456a0ffaabab665a20c636816eafa9c31e8bf","15077746","1656960271","2022-07-04 18:44:31","0x0000000000000000000000000000000000000000","0xc84783ea4e1de17bfc8b06d72d0257f750d73c43","1,720.372181818181818181","Withdraw"
"0x88f80a146a347f38714f05919d0e1397bf60bf1df82081558a30b20c287b5264","15077759","1656960464","2022-07-04 18:47:44","0x74e3203f7c1008885970703a96e01fea0e5a511f","0x702e7a0d719a20e147ab7739a837fbf073165a24","22,822.43904051944101531","Remove Liquidity ETH With Permit"
"0x88f80a146a347f38714f05919d0e1397bf60bf1df82081558a30b20c287b5264","15077759","1656960464","2022-07-04 18:47:44","0x702e7a0d719a20e147ab7739a837fbf073165a24","0x50aa3d33800a1bf4b8ed76740fd52dfb4bb503e7","22,822.43904051944101531","Remove Liquidity ETH With Permit"
"0x8e473016aa73149f69b831682ecea966c3d089bcfd5ff03dc929e14b0aa25344","15078051","1656964199","2022-07-04 19:49:59","0x50aa3d33800a1bf4b8ed76740fd52dfb4bb503e7","0x74e3203f7c1008885970703a96e01fea0e5a511f","10,000","Add Liquidity ETH"
"0x9d1b66ea29be200bef79a8e1089411ac3e7a84a37364d17bf99eb88e1c47d570","15078357","1656968310","2022-07-04 20:58:30","0x74e3203f7c1008885970703a96e01fea0e5a511f","0x702e7a0d719a20e147ab7739a837fbf073165a24","9,999.999999999999999905","Remove Liquidity ETH With Permit"
"0x9d1b66ea29be200bef79a8e1089411ac3e7a84a37364d17bf99eb88e1c47d570","15078357","1656968310","2022-07-04 20:58:30","0x702e7a0d719a20e147ab7739a837fbf073165a24","0x50aa3d33800a1bf4b8ed76740fd52dfb4bb503e7","9,999.999999999999999905","Remove Liquidity ETH With Permit"
"0x8a55e336f2dea016555fef72fe768fce3c30c5ea9c2feacd4bb9a65e6b9be458","15078945","1656976393","2022-07-04 23:13:13","0x50aa3d33800a1bf4b8ed76740fd52dfb4bb503e7","0xc6f47e4eb14b421c3ae0984141be9cf3793bde93","10,600","Add Liquidity ETH"
"0x2edc784fb8b73e56f6c6f22730b37b568c4e729010b4574c43c90e9a34e06af0","15079161","1656979488","2022-07-05 00:04:48","0x50aa3d33800a1bf4b8ed76740fd52dfb4bb503e7","0xa4c1135f0c0123f6683f98a8177f4c51f3179107","1,000","Enter Staking"
"0xbf68f1f9c2f8e094902e62d4a9ebd4992b9ffadb40524f663c641400da654ebd","15079167","1656979697","2022-07-05 00:08:17","0x50aa3d33800a1bf4b8ed76740fd52dfb4bb503e7","0xabc7303d27658a277830a1f64b3ca77dffa10483","1,000","Deposit"
"0xbf68f1f9c2f8e094902e62d4a9ebd4992b9ffadb40524f663c641400da654ebd","15079167","1656979697","2022-07-05 00:08:17","0x0000000000000000000000000000000000000000","0xa4c1135f0c0123f6683f98a8177f4c51f3179107","0.908727272727272727","Deposit"
"0xbf68f1f9c2f8e094902e62d4a9ebd4992b9ffadb40524f663c641400da654ebd","15079167","1656979697","2022-07-05 00:08:17","0xabc7303d27658a277830a1f64b3ca77dffa10483","0xa4c1135f0c0123f6683f98a8177f4c51f3179107","1,000","Deposit"
"0x7e3e377092e78911c556a94218f2d35ebed98f12a4890a7bd21355d5bc2858de","15079176","1656979825","2022-07-05 00:10:25","0x50aa3d33800a1bf4b8ed76740fd52dfb4bb503e7","0x45ee118463cd4dc310bd0a2e8c9e211e815b809a","1,000","New Deposit"
"0x917c04876f3e5620acd86815d7ea808c46d345996f78bb7ec2bbb99c777f7124","15079387","1656982441","2022-07-05 00:54:01","0xbff5672d78e7ef1ebe7f6b2ebd8be7a7bbd4e9e1","0x50aa3d33800a1bf4b8ed76740fd52dfb4bb503e7","0","Stake"
